CLAVE,SITIO,ESTADO,LATITUD,LONGITUD,SEMAFORO,CLUSTER
DLAGU8,PRESA EL SAUCILLO 100M AGUAS ARRIBA DE LA CORTINA,AGUASCALIENTES,22.2473,-102.33911,Rojo,0
DLBAJ100,"LOS CABOS SEG 22, 2 ISA10B",BAJA CALIFORNIA SUR,22.90473,-109.8429,Verde,0
DLBAJ101,"LOS CABOS SEG 22, 1 ISA10B",BAJA CALIFORNIA SUR,22.8988,-109.86442,Verde,0
DLBAJ102,LOS CABOS 3,BAJA CALIFORNIA SUR,22.89609,-109.88604,Verde,0
DLBAJ103,LOS CABOS 1,BAJA CALIFORNIA SUR,22.87694,-109.89657,Verde,0
DLBAJ104,BAHIA CABO SAN LUCAS,BAJA CALIFORNIA SUR,22.88,-109.9025,Verde,0
DLBAJ105,LOS CABOS 2,BAJA CALIFORNIA SUR,22.8831,-109.9054,Verde,0
DLBAJ106W2,LAGUNA TODOS SANTOS - CENTRO DE LA LAGUNA,BAJA CALIFORNIA SUR,23.4393,-110.23902,Rojo,0
DLBAJ109,MANANTIAL SAN REGIS,BAJA CALIFORNIA SUR,23.45805,-110.22379,Amarillo,0
DLBAJ112,AGUA CALIENTE II,BAJA CALIFORNIA SUR,23.43995,-109.80786,Amarillo,1
DLBAJ120M1,BOCA DE LA SIERRA,BAJA CALIFORNIA SUR,23.39128,-109.8261,Amarillo,1
DLBAJ121,HUMEDAL OASIS DE LA SIERRA EL PILAR 1,BAJA CALIFORNIA SUR,24.50289,-110.95153,Amarillo,2
DLBAJ123,OASIS DE LA SIERRA EL PILAR 2,BAJA CALIFORNIA SUR,24.46953,-111.00268,Verde,1
DLBAJ124,MANANTIAL CADUAÑO,BAJA CALIFORNIA SUR,23.337,-109.77912,Amarillo,0
DLBAJ126,MANANTIAL SAN BARTOLO,BAJA CALIFORNIA SUR,23.73546,-109.84545,Verde,1
DLBAJ132,HUMEDAL LOS COMONDU 1,BAJA CALIFORNIA SUR,26.06218,-111.80531,Verde,1
